"root_file","git_blob_sha1","category","retention_status"
"NOTA_ENGENHARIA_V4.05.txt","7cdd2277f0d510773b2e05870ffc0d3b212e364a","NOTA","PRESERVAR_ATE_APROVACAO"
"RELEASE_INFO.txt","4bfff3be62ebce47ef13e124ca129c7b06e02c73","RELEASE","PRESERVAR_ATE_APROVACAO"
"RELEASE_v3.83.txt","5e8fa606f4ba23deb5a32eaaeb0c0c802bb25eec","RELEASE","PRESERVAR_ATE_APROVACAO"
"RELEASE_v3.84.txt","15ed987f094230cfe48e2cf7ec9e91235d4fc68e","RELEASE","PRESERVAR_ATE_APROVACAO"
"RELEASE_v3.85.txt","8b7c2af1be188618a24177a9fe0e65aed45b97a8","RELEASE","PRESERVAR_ATE_APROVACAO"
"RELEASE_v3.86.txt","725eabc93e44b60daac45dc7d9d007663726b3b5","RELEASE","PRESERVAR_ATE_APROVACAO"
"RELEASE_v3.87.txt","d4cba65b28ac464f973004ff482992ee2ccb21a8","RELEASE","PRESERVAR_ATE_APROVACAO"
"RELEASE_v3.88.txt","b979b82a4a057b612f3a53dfcd7b9a95526c9afb","RELEASE","PRESERVAR_ATE_APROVACAO"
"RELEASE_v3.89.txt","9e5ea35b5c2ce0a826c3b18875df33ea32c577bc","RELEASE","PRESERVAR_ATE_APROVACAO"
"RELEASE_v3.90.txt","bc30b59b296bef08b76bbe3e8ba64461b765b133","RELEASE","PRESERVAR_ATE_APROVACAO"
"RELEASE_v3.91.txt","d1f2e5cfd2ed8d3347f835413d61f7c347253893","RELEASE","PRESERVAR_ATE_APROVACAO"
"RELEASE_v3.92.txt","426f2a7f5f7230763094a807aabb73ea02a0fcf7","RELEASE","PRESERVAR_ATE_APROVACAO"
"RELEASE_v3.93.txt","84b8e6338d6073aaa4a20fa3ad56e1f6844eb250","RELEASE","PRESERVAR_ATE_APROVACAO"
"RELEASE_v3.94.txt","43720f4960b0a5b3a5d71d6edc193be4f3adf1f6","RELEASE","PRESERVAR_ATE_APROVACAO"
"RELEASE_v3.95.txt","bbad66340c725437c30bde1e554434b4775eae3f","RELEASE","PRESERVAR_ATE_APROVACAO"
"RELEASE_v3.96.txt","8f2591bb44da5fc85ab225c0737d18edaec697b4","RELEASE","PRESERVAR_ATE_APROVACAO"
"RELEASE_v3.97.txt","5cdb6cbe548162e7cbd2633ef6c8582c239005ce","RELEASE","PRESERVAR_ATE_APROVACAO"
"RELEASE_v3.98.txt","5a466fdcac51c9ce4329e5d895a88842effa6099","RELEASE","PRESERVAR_ATE_APROVACAO"
"RELEASE_v3.99.txt","26724df3f2d24f7a1d3256642a64b3f5d02f1255","RELEASE","PRESERVAR_ATE_APROVACAO"
"RELEASE_v4.00.txt","e19fa22e2d54b09c3195e9b25e4c6097d0bef859","RELEASE","PRESERVAR_ATE_APROVACAO"
"RELEASE_v4.01.txt","6710079b033f74625b248b04724af3e5239f7cac","RELEASE","PRESERVAR_ATE_APROVACAO"
"RELEASE_v4.02.txt","9623b927eed8b247d1e403032d112c3ac3e47dac","RELEASE","PRESERVAR_ATE_APROVACAO"
"RELEASE_v4.03.txt","fd039991242b0026bb9b83326adfaf3dd9037326","RELEASE","PRESERVAR_ATE_APROVACAO"
"RELEASE_v4.04.txt","a86e3666afb0a6759d5d7726352f483611e345a4","RELEASE","PRESERVAR_ATE_APROVACAO"
"RELEASE_v4.05.txt","e75b2e0d855e8943785ecc470f574643917249b1","RELEASE","PRESERVAR_ATE_APROVACAO"
